artist,title
AC/DC,Back in Black
AC/DC,Highway to Hell
Aerosmith,Dream On
Alain Souchon,Foule sentimentale
Alain Souchon,J'ai dix ans
Alain Souchon,L'amour à la machine
The Alan Parsons Project,Eye in the Sky
Alice in Chains,Check My Brain
The Beatles,Come Together
The Beatles,I Want You (She's So Heavy)
Bloc Party,Helicopter
Georges Brassens,Chanson pour l'Auvergnat
Guns N' Roses,My Michelle
Muse,Time Is Running Out
Radiohead,No Surprises
Rover,Call My Name
System of a Down,Chop Suey!
Wye Oak,Civilian
Tool,Fear Inoculum
LANDMVRKS,Sulfur
Arctic Monkeys,I Bet You Look Good on the Dancefloor
Arctic Monkeys,R U Mine?
Bruno Mars,I Just Might
CAKE,War Pigs
Cream,Sunshine of Your Love
Eminem,The Real Slim Shady
Foals,My Number
James Brown & The Famous Flames,I Got You (I Feel Good)
Jamiroquai,Cosmic Girl
Jamiroquai,Runaway
Kenny Dorham,Blue Bossa
MAXIMUM THE HORMONE,Bikini Sports Ponchin
Maya Delilah,Actress
Men I Trust,Show Me How
Michael Jackson,Bad
Michael Jackson,Beat It
Michael Jackson,Billie Jean
Michael Jackson,Don't Stop 'Til You Get Enough
Michael Jackson,Get on the Floor
Michael Jackson,Smooth Criminal
Michael Jackson,Thriller
Muse,Hysteria
Pearl & The Oysters,Pacific Ave
Pearl & The Oysters,Treasure Island
Pink Floyd,Money
Primus,Electric Uncle Sam
Primus,Lacquer Head
Primus,Little Lord Fentanyl (feat. Puscifer)
Primus,Power Mad
Rage Against the Machine,Bullet in the Head
Rage Against the Machine,Freedom
Rage Against the Machine,Killing in the Name
Rage Against the Machine,Revolver
Rage Against the Machine,Sleep Now in the Fire
Rage Against the Machine,Take the Power Back
Red Hot Chili Peppers,Aeroplane
Red Hot Chili Peppers,Aquatic Mouth Dance
Red Hot Chili Peppers,Can't Stop
Red Hot Chili Peppers,Dani California
Red Hot Chili Peppers,Dark Necessities
Red Hot Chili Peppers,Factory of Faith
Red Hot Chili Peppers,Give It Away
Red Hot Chili Peppers,Look Around
Red Hot Chili Peppers,Mellowship Slinky in B Major
Red Hot Chili Peppers,Pea
Red Hot Chili Peppers,Readymade
Red Hot Chili Peppers,Storm in a Teacup
Red Hot Chili Peppers,Suck My Kiss
Red Hot Chili Peppers,The Power of Equality
Red Hot Chili Peppers,The Righteous & the Wicked
Red Hot Chili Peppers,Tippa My Tongue
Red Hot Chili Peppers,Warped
Royal Blood,Figure It Out
Sonic the Hedgehog,Green Hill Zone
Tame Impala,Elephant
Tame Impala,The Less I Know the Better
The Clash,Jimmy Jazz
The Clash,London Calling
The Jackson 5,I Want You Back
The Jacksons,Blame It on the Boogie
Vulfpeck,1612
Vulfpeck,Dean Town
